Student_ID,Study_Hours,Attendance,Assignments_Score,Previous_Grade,Participation,Internet_Access,Final_Score
1,6,99,56,41,4,0,60.39299904399187
2,3,90,62,60,4,0,49.87696630516567
3,10,49,75,37,1,1,62.560840326134304
4,7,45,66,35,5,1,58.60670188172037
5,4,49,98,87,4,1,73.57123958581954
6,6,81,44,51,5,0,48.11710009325125
7,9,60,96,46,4,1,61.246830766925335
8,2,83,57,83,2,1,55.90639103504602
9,6,95,92,72,5,1,78.52325185725236
10,10,43,32,43,5,1,47.95852760004438
11,10,52,81,51,3,1,67.92901318227216
12,7,97,73,73,5,0,80.57183141947789
13,4,49,89,52,4,0,48.9851948353715
14,3,55,87,92,3,1,59.03857445624083
15,7,58,43,90,3,1,68.64286607629386
16,7,45,35,57,5,1,50.22398311948842
17,2,65,48,61,3,0,37.03042724754881
18,5,48,91,36,5,0,59.925123555764564
19,4,85,34,61,5,1,60.73554845445665
20,1,95,78,75,3,1,69.62459987883258
21,7,49,80,89,4,1,67.27291542418486
22,11,79,55,84,3,1,71.65326318602526
23,5,42,85,49,1,0,43.35956582941282
24,1,88,47,84,5,1,58.50844268907411
25,11,58,74,78,2,0,59.94258781831681
26,4,74,38,71,2,1,46.98207259947159
27,0,85,31,39,2,0,31.374233280033312
28,11,99,71,65,2,1,70.52278729091341
29,9,45,99,75,5,0,68.61136368102629
30,5,68,97,83,5,0,73.9728001684436
31,11,58,60,71,3,1,57.02958240788839
32,8,89,48,69,3,0,61.071202068630335
33,0,83,76,53,2,1,42.80540273620652
34,10,54,66,87,5,0,69.01318732955659
35,10,96,48,62,3,1,58.07103637589002
36,9,77,54,36,3,0,44.05271567726979
37,11,60,82,70,3,0,67.48801209596925
38,11,83,33,86,5,1,72.91240675129956
39,2,90,75,54,1,0,41.632885668833815
40,11,78,60,84,2,0,70.3876172679937
41,6,62,65,85,3,0,56.06013933183677
42,3,59,33,93,3,0,50.0590547485252
43,8,81,31,37,2,0,50.84128345602849
44,2,89,68,42,5,1,66.52277638633238
45,4,41,73,74,4,1,56.52813811513009
46,2,84,48,64,2,1,46.013868717842996
47,6,71,70,46,2,0,56.02214756048382
48,4,86,67,83,4,1,73.04526862556828
49,8,67,94,86,4,1,78.66417827017817
50,6,95,64,73,2,1,66.36965830186563
51,1,43,40,51,3,0,40.128044475858296
52,3,46,88,36,4,0,44.97443708879607
53,8,42,99,71,1,0,56.59784527828346
54,11,64,72,94,1,1,73.73786801506722
55,1,87,34,57,2,0,43.24145521726958
56,9,97,55,73,3,0,69.69640884114554
57,8,48,61,61,4,0,45.89790516083955
58,9,62,76,91,2,1,67.33523020989196
59,4,62,85,53,4,1,63.27193199175591
60,1,88,79,78,1,0,52.02114656811675
61,3,65,87,92,3,0,63.04201827931572
62,11,79,57,36,1,0,50.71015041033627
63,11,57,84,66,5,0,74.80269589961765
64,6,63,87,67,1,1,57.66497468658776
65,11,66,69,77,4,0,62.97217569563719
66,7,84,87,74,5,0,68.27949065097509
67,2,41,75,57,1,1,48.94642826139209
68,0,40,74,48,5,0,41.18445870580444
69,3,87,39,50,1,0,30.425949836481198
70,1,55,77,91,3,0,48.64470404280231
71,7,82,91,68,1,1,65.74011133560074
72,3,63,57,91,1,1,54.36381945940925
73,1,75,49,92,1,1,55.911071464075924
74,5,50,99,74,3,0,55.80643102664835
75,5,65,70,78,3,1,57.939472795823576
76,9,45,35,81,1,1,52.52408645690849
77,3,65,40,54,4,1,47.43437105198506
78,5,68,59,78,3,1,57.99737134395656
79,1,82,32,80,5,0,46.712235571788284
80,9,97,62,76,5,0,74.49944940291468
81,11,40,83,70,4,1,76.18347803247613
82,1,48,76,86,1,1,40.7198347809603
83,9,66,39,87,3,0,55.974905086610676
84,3,46,48,63,4,0,49.42636563596051
85,7,92,38,93,1,1,63.17219966401195
86,6,93,36,83,2,1,59.2214860458736
87,11,42,90,87,5,1,83.92859394136138
88,8,48,43,43,4,1,48.55749851497866
89,7,41,31,43,3,1,48.0139470014414
